Node;Name;data_type;class;archiving;strategy;initStore;responseSize;pollInterval;Description
IM;IM_Kran1_inCommand_ARM;UINT;inout;false;VALUESET;1;1;1;
IM;IM_Kran1_status;UDINT;inout;false;VALUESET;1;1;1;
IM;IM_Kran4_inCommand_ARM;UINT;inout;false;VALUESET;1;1;1;
IM;IM_Kran4_status;UDINT;inout;false;VALUESET;1;1;1;
IM;IM_Kran2_inCommand_ARM;UINT;inout;false;VALUESET;1;1;1;
IM;IM_Kran2_status;UDINT;inout;false;VALUESET;1;1;1;
IM;IM_Kran3_inCommand_ARM;UINT;inout;false;VALUESET;1;1;1;
IM;IM_Kran3_status;UDINT;inout;false;VALUESET;1;1;1;
IM;IM_Nu_inCommand_ARM;UINT;inout;false;VALUESET;1;1;1;
IM;IM_Nu_status;UDINT;inout;false;VALUESET;1;1;1;
IM;IM_Nu2_inCommand_ARM;UINT;inout;false;VALUESET;1;1;1;
IM;IM_Nu2_status;UDINT;inout;false;VALUESET;1;1;1;
IM;IM_Avom1_inCommand_ARM;UINT;inout;false;VALUESET;1;1;1;
IM;IM_Avom1_status;UDINT;inout;false;VALUESET;1;1;1;
IM;IM_Avom2_inCommand_ARM;UINT;inout;false;VALUESET;1;1;1;
IM;IM_Avom2_status;UDINT;inout;false;VALUESET;1;1;1;
IM;IM_Avom3_inCommand_ARM;UINT;inout;false;VALUESET;1;1;1;
IM;IM_Avom3_status;UDINT;inout;false;VALUESET;1;1;1;
IM;IM_Avom4_inCommand_ARM;UINT;inout;false;VALUESET;1;1;1;
IM;IM_Avom4_status;UDINT;inout;false;VALUESET;1;1;1;
IM;IM_Mv_inCommand_ARM;UINT;inout;false;VALUESET;1;1;1;
IM;IM_Mv_status;UDINT;inout;false;VALUESET;1;1;1;
IM;IM_SectionSwitch1_inCommand_ARM;UINT;inout;false;VALUESET;1;1;1;
IM;IM_SectionSwitch1_status;UDINT;inout;false;VALUESET;1;1;1;
IM;IM_SingleSignals_SI0_status;UDINT;inout;false;VALUESET;1;1;1;
IM;IM_SingleSignals_SI1_status;UDINT;inout;false;VALUESET;1;1;1;
IM;IM_SingleSignals_SI2_status;UDINT;inout;false;VALUESET;1;1;1;
IM;IM_SingleSignals_SI3_status;UDINT;inout;false;VALUESET;1;1;1;
IM;IM_SingleSignals_SI4_status;UDINT;inout;false;VALUESET;1;1;1;
IM;IM_SingleSignals_SI5_status;UDINT;inout;false;VALUESET;1;1;1;
IM;IM_SingleSignals_SI6_status;UDINT;inout;false;VALUESET;1;1;1;
