Node;Name;data_type;class;archiving;strategy;initStore;responseSize;pollInterval;Description
Protections;Protections_DiP1_inCommand_ARM;UINT;inout;false;VALUESET;1;1;1;
Protections;Protections_DiP1_status;UDINT;inout;false;VALUESET;1;1;1;
Protections;Protections_DiP2_inCommand_ARM;UINT;inout;false;VALUESET;1;1;1;
Protections;Protections_DiP2_status;UDINT;inout;false;VALUESET;1;1;1;
Protections;Protections_DiP3_inCommand_ARM;UINT;inout;false;VALUESET;1;1;1;
Protections;Protections_DiP3_status;UDINT;inout;false;VALUESET;1;1;1;
Protections;Protections_DiP4_inCommand_ARM;UINT;inout;false;VALUESET;1;1;1;
Protections;Protections_DiP4_status;UDINT;inout;false;VALUESET;1;1;1;
Protections;Protections_DiP5_inCommand_ARM;UINT;inout;false;VALUESET;1;1;1;
Protections;Protections_DiP5_status;UDINT;inout;false;VALUESET;1;1;1;
Protections;Protections_Ap1_inCommand_ARM;UINT;inout;false;VALUESET;1;1;1;
Protections;Protections_Ap1_status;UDINT;inout;false;VALUESET;1;1;1;
Protections;Protections_AiP1_inCommand_ARM;UINT;inout;false;VALUESET;1;1;1;
Protections;Protections_AiP1_status;UDINT;inout;false;VALUESET;1;1;1;
Protections;Protections_AiP2_inCommand_ARM;UINT;inout;false;VALUESET;1;1;1;
Protections;Protections_AiP2_status;UDINT;inout;false;VALUESET;1;1;1;
Protections;Protections_AiP3_inCommand_ARM;UINT;inout;false;VALUESET;1;1;1;
Protections;Protections_AiP3_status;UDINT;inout;false;VALUESET;1;1;1;
